Time;Temperatura
05/12/2024 23:15;35.8 °C
05/12/2024 23:30;33.2 °C
05/12/2024 23:45;30.0 °C
06/12/2024 00:00;27.8 °C
06/12/2024 00:15;27.0 °C
06/12/2024 00:30;27.9 °C
06/12/2024 00:45;30.1 °C
06/12/2024 01:00;32.3 °C
06/12/2024 01:15;32.9 °C
06/12/2024 01:30;33.4 °C
06/12/2024 01:45;33.6 °C
06/12/2024 02:00;33.7 °C
06/12/2024 02:15;34.5 °C
06/12/2024 02:30;34.9 °C
06/12/2024 02:45;34.2 °C
06/12/2024 03:00;34.3 °C
06/12/2024 03:15;33.8 °C
06/12/2024 03:30;34.6 °C
06/12/2024 03:45;34.2 °C
06/12/2024 04:00;33.6 °C
06/12/2024 04:15;33.2 °C
06/12/2024 04:30;33.7 °C
06/12/2024 04:45;34.4 °C
06/12/2024 05:00;34.7 °C
06/12/2024 05:15;34.5 °C
06/12/2024 05:30;34.8 °C
06/12/2024 05:45;34.5 °C
06/12/2024 06:00;34.0 °C
06/12/2024 06:15;34.8 °C
06/12/2024 06:30;35.8 °C
06/12/2024 06:45;39.1 °C
06/12/2024 07:00;39.7 °C
06/12/2024 07:15;39.8 °C
06/12/2024 07:30;39.4 °C
06/12/2024 07:45;38.2 °C
06/12/2024 08:00;39.0 °C
06/12/2024 08:15;37.4 °C
06/12/2024 08:30;38.1 °C
06/12/2024 08:45;39.8 °C
06/12/2024 09:00;39.4 °C
06/12/2024 09:15;38.1 °C
06/12/2024 09:30;37.9 °C
06/12/2024 09:45;37.8 °C
06/12/2024 10:00;37.0 °C
06/12/2024 10:15;36.4 °C
06/12/2024 10:30;36.2 °C
06/12/2024 10:45;36.3 °C
06/12/2024 11:00;35.9 °C
06/12/2024 11:15;35.8 °C
06/12/2024 11:30;36.1 °C
06/12/2024 11:45;35.8 °C
06/12/2024 12:00;34.9 °C
06/12/2024 12:15;34.4 °C
06/12/2024 12:30;34.9 °C
06/12/2024 12:45;34.7 °C
06/12/2024 13:00;34.1 °C
06/12/2024 13:15;31.9 °C
06/12/2024 13:30;32.5 °C
06/12/2024 13:45;34.3 °C
06/12/2024 14:00;38.4 °C
06/12/2024 14:15;38.4 °C
06/12/2024 14:30;37.4 °C
06/12/2024 14:45;35.8 °C
06/12/2024 15:00;35.3 °C
06/12/2024 15:15;35.8 °C
06/12/2024 15:30;37.0 °C
06/12/2024 15:45;36.7 °C
06/12/2024 16:00;36.5 °C
06/12/2024 16:15;37.7 °C
06/12/2024 16:30;36.4 °C
06/12/2024 16:45;36.9 °C
06/12/2024 17:00;34.8 °C
06/12/2024 17:15;32.3 °C
06/12/2024 17:30;31.0 °C
06/12/2024 17:45;31.1 °C
06/12/2024 18:00;31.4 °C
06/12/2024 18:15;32.7 °C
06/12/2024 18:30;33.6 °C
06/12/2024 18:45;33.8 °C
06/12/2024 19:00;33.8 °C
06/12/2024 19:15;33.7 °C
06/12/2024 19:30;35.0 °C
06/12/2024 19:45;33.9 °C
06/12/2024 20:00;33.3 °C
06/12/2024 20:15;33.1 °C
06/12/2024 20:30;31.0 °C
06/12/2024 20:45;31.5 °C
06/12/2024 21:00;31.7 °C
06/12/2024 21:15;31.7 °C
06/12/2024 21:30;32.5 °C
06/12/2024 21:45;34.1 °C
06/12/2024 22:00;32.7 °C
06/12/2024 22:15;31.3 °C
06/12/2024 22:30;29.5 °C
06/12/2024 22:45;32.1 °C
06/12/2024 23:00;34.3 °C
06/12/2024 23:15;33.3 °C
06/12/2024 23:30;33.0 °C
06/12/2024 23:45;32.9 °C
07/12/2024 00:00;31.6 °C
07/12/2024 00:15;32.7 °C
07/12/2024 00:30;33.7 °C
07/12/2024 00:45;34.8 °C
07/12/2024 01:00;35.1 °C
07/12/2024 01:15;35.0 °C
07/12/2024 01:30;34.8 °C
07/12/2024 01:45;33.9 °C
07/12/2024 02:00;32.8 °C
07/12/2024 02:15;33.4 °C
07/12/2024 02:30;33.6 °C
07/12/2024 02:45;33.2 °C
07/12/2024 03:00;33.1 °C
07/12/2024 03:15;33.2 °C
07/12/2024 03:30;32.3 °C
07/12/2024 03:45;31.9 °C
07/12/2024 04:00;31.2 °C
07/12/2024 04:15;30.5 °C
07/12/2024 04:30;30.0 °C
07/12/2024 04:45;29.4 °C
07/12/2024 05:00;29.4 °C
07/12/2024 05:15;29.8 °C
07/12/2024 05:30;31.0 °C
07/12/2024 05:45;31.3 °C
07/12/2024 06:00;31.9 °C
07/12/2024 06:15;32.8 °C
07/12/2024 06:30;34.4 °C
07/12/2024 06:45;35.1 °C
07/12/2024 07:00;35.8 °C
07/12/2024 07:15;37.8 °C
07/12/2024 07:30;38.4 °C
07/12/2024 07:45;36.9 °C
07/12/2024 08:00;36.5 °C
07/12/2024 08:15;36.1 °C
07/12/2024 08:30;34.9 °C
